,F_beta,RECALL,PRECISION,F1,F1_MACRO,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,config/detection_algorithm,config/feature_analysis,config/timeseries_processing,logdir
10,0.4799662315734788,0.2,0.0071428571428571,0.8978571428571429,0.4799662315734788,1.3398990631103516,False,,,1,b27cbb428d544a87845025d03c405e44,2022-12-03_10-14-10,1670062450,1.3398990631103516,11906,wmKl4d,172.17.0.4,1.3398990631103516,0,1,315f1_00010,"10_0_1_n_bins=10,0_1_window_size=20,0_1_norm=max,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'max', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00010_10_0_1_n_bins=10,0_1_window_size=20,0_1_norm=max,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-14-09"
11,0.4872394311318917,0.4,0.0142857142857142,0.8992857142857142,0.4872394311318917,1.3263499736785889,False,,,1,c36ccd8688c84926b6653d442aaee7ac,2022-12-03_10-14-12,1670062452,1.3263499736785889,11906,wmKl4d,172.17.0.4,1.3263499736785889,0,1,315f1_00011,"11_0_1_n_bins=20,0_1_window_size=20,0_1_norm=max,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'max', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00011_11_0_1_n_bins=20,0_1_window_size=20,0_1_norm=max,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-14-10"
12,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.3265745639801023,False,,,1,55fad1753b9e4cc3a1660bed6bc4d5eb,2022-12-03_10-14-13,1670062453,1.3265745639801023,11906,wmKl4d,172.17.0.4,1.3265745639801023,0,1,315f1_00012,"12_0_1_n_bins=10,0_1_window_size=10,0_1_norm=l1,0_1_use_semantic_types=1,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'l1', 'use_semantic_types': 1, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00012_12_0_1_n_bins=10,0_1_window_size=10,0_1_norm=l1,0_1_use_semantic_types=1,0_1_window_size=3_2022-12-03_10-14-12"
13,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.3599209785461426,False,,,1,c803b4f43db447e7b229c3cbfe17d8a1,2022-12-03_10-14-14,1670062454,1.3599209785461426,11906,wmKl4d,172.17.0.4,1.3599209785461426,0,1,315f1_00013,"13_0_1_n_bins=20,0_1_window_size=10,0_1_norm=l1,0_1_use_semantic_types=1,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'l1', 'use_semantic_types': 1, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00013_13_0_1_n_bins=20,0_1_window_size=10,0_1_norm=l1,0_1_use_semantic_types=1,0_1_window_size=3_2022-12-03_10-14-13"
14,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.4312622547149658,False,,,1,db13d305eaa744bea6992cc095276553,2022-12-03_10-14-16,1670062456,1.4312622547149658,11906,wmKl4d,172.17.0.4,1.4312622547149658,0,1,315f1_00014,"14_0_1_n_bins=10,0_1_window_size=20,0_1_norm=l1,0_1_use_semantic_types=1,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'l1', 'use_semantic_types': 1, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00014_14_0_1_n_bins=10,0_1_window_size=20,0_1_norm=l1,0_1_use_semantic_types=1,0_1_window_size=3_2022-12-03_10-14-14"
15,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.3866984844207764,False,,,1,e62fcb01a2494f1087e9b93dd7308a1a,2022-12-03_10-14-17,1670062457,1.3866984844207764,11906,wmKl4d,172.17.0.4,1.3866984844207764,0,1,315f1_00015,"15_0_1_n_bins=20,0_1_window_size=20,0_1_norm=l1,0_1_use_semantic_types=1,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'l1', 'use_semantic_types': 1, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00015_15_0_1_n_bins=20,0_1_window_size=20,0_1_norm=l1,0_1_use_semantic_types=1,0_1_window_size=3_2022-12-03_10-14-16"
16,0.4872394311318917,0.4,0.0142857142857142,0.8992857142857142,0.4872394311318917,1.436450719833374,False,,,1,d3737e31957d410faee47b93ba34ea14,2022-12-03_10-14-19,1670062459,1.436450719833374,11906,wmKl4d,172.17.0.4,1.436450719833374,0,1,315f1_00016,"16_0_1_n_bins=10,0_1_window_size=10,0_1_norm=l2,0_1_use_semantic_types=1,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'l2', 'use_semantic_types': 1, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00016_16_0_1_n_bins=10,0_1_window_size=10,0_1_norm=l2,0_1_use_semantic_types=1,0_1_window_size=3_2022-12-03_10-14-17"
17,0.4872394311318917,0.4,0.0142857142857142,0.8992857142857142,0.4872394311318917,1.3038694858551023,False,,,1,525a546f20c64108afbf1985ccbb819d,2022-12-03_10-14-20,1670062460,1.3038694858551023,11906,wmKl4d,172.17.0.4,1.3038694858551023,0,1,315f1_00017,"17_0_1_n_bins=20,0_1_window_size=10,0_1_norm=l2,0_1_use_semantic_types=1,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'l2', 'use_semantic_types': 1, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00017_17_0_1_n_bins=20,0_1_window_size=10,0_1_norm=l2,0_1_use_semantic_types=1,0_1_window_size=3_2022-12-03_10-14-19"
18,0.4799662315734788,0.2,0.0071428571428571,0.8978571428571429,0.4799662315734788,1.4554362297058103,False,,,1,7b82ca0f5358481094d6ccb444d09e80,2022-12-03_10-14-22,1670062462,1.4554362297058103,11906,wmKl4d,172.17.0.4,1.4554362297058103,0,1,315f1_00018,"18_0_1_n_bins=10,0_1_window_size=20,0_1_norm=l2,0_1_use_semantic_types=1,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'l2', 'use_semantic_types': 1, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00018_18_0_1_n_bins=10,0_1_window_size=20,0_1_norm=l2,0_1_use_semantic_types=1,0_1_window_size=3_2022-12-03_10-14-20"
19,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.4386584758758545,False,,,1,f3ec148d101f428395595ad8003fbaec,2022-12-03_10-14-23,1670062463,1.4386584758758545,11906,wmKl4d,172.17.0.4,1.4386584758758545,0,1,315f1_00019,"19_0_1_n_bins=20,0_1_window_size=20,0_1_norm=l2,0_1_use_semantic_types=1,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'l2', 'use_semantic_types': 1, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00019_19_0_1_n_bins=20,0_1_window_size=20,0_1_norm=l2,0_1_use_semantic_types=1,0_1_window_size=3_2022-12-03_10-14-22"
